"age" "alc" "tob" "ncases" "ncontrols"
"1" 30 20 5 0 40
"2" 30 20 15 0 10
"3" 30 20 25 0 6
"4" 30 20 35 0 5
"5" 30 60 5 0 27
"6" 30 60 15 0 7
"7" 30 60 25 0 4
"8" 30 60 35 0 7
"9" 30 100 5 0 2
"10" 30 100 15 0 1
"11" 30 100 35 0 2
"12" 30 140 5 0 1
"13" 30 140 15 1 1
"14" 30 140 25 0 1
"15" 30 140 35 0 2
"16" 40 20 5 0 60
"17" 40 20 15 1 14
"18" 40 20 25 0 7
"19" 40 20 35 0 8
"20" 40 60 5 0 35
"21" 40 60 15 3 23
"22" 40 60 25 1 14
"23" 40 60 35 0 8
"24" 40 100 5 0 11
"25" 40 100 15 0 6
"26" 40 100 25 0 2
"27" 40 100 35 0 1
"28" 40 140 5 2 3
"29" 40 140 15 0 3
"30" 40 140 25 2 4
"31" 60 20 5 1 46
"32" 60 20 15 0 18
"33" 60 20 25 0 10
"34" 60 20 35 0 4
"35" 60 60 5 6 38
"36" 60 60 15 4 21
"37" 60 60 25 5 15
"38" 60 60 35 5 7
"39" 60 100 5 3 16
"40" 60 100 15 6 14
"41" 60 100 25 1 5
"42" 60 100 35 2 4
"43" 60 140 5 4 4
"44" 60 140 15 3 4
"45" 60 140 25 2 3
"46" 60 140 35 4 4
"47" 70 20 5 2 49
"48" 70 20 15 3 22
"49" 70 20 25 3 12
"50" 70 20 35 4 6
"51" 70 60 5 9 40
"52" 70 60 15 6 21
"53" 70 60 25 4 17
"54" 70 60 35 3 6
"55" 70 100 5 9 18
"56" 70 100 15 8 15
"57" 70 100 25 3 6
"58" 70 100 35 4 4
"59" 70 140 5 5 10
"60" 70 140 15 6 7
"61" 70 140 25 2 3
"62" 70 140 35 5 6
"63" 80 20 5 5 48
"64" 80 20 15 4 14
"65" 80 20 25 2 7
"66" 80 20 35 0 2
"67" 80 60 5 17 34
"68" 80 60 15 3 10
"69" 80 60 25 5 9
"70" 80 100 5 6 13
"71" 80 100 15 4 12
"72" 80 100 25 2 3
"73" 80 100 35 1 1
"74" 80 140 5 3 4
"75" 80 140 15 1 2
"76" 80 140 25 1 1
"77" 80 140 35 1 1
"78" 90 20 5 1 18
"79" 90 20 15 2 6
"80" 90 20 35 1 3
"81" 90 60 5 2 5
"82" 90 60 15 1 3
"83" 90 60 25 0 3
"84" 90 60 35 1 1
"85" 90 100 5 1 1
"86" 90 100 15 1 1
"87" 90 140 5 2 2
"88" 90 140 15 1 1
